nNoBorne,sStatut,sNomRue,sZoneGroupeCode,nLongitude,nLatitude,sTypeExploitation
13057,A,Notre-Dame,SN-SP-SQ-SR,-73.588105384646411000,45.473579964467071000,Régulier Payez-Partez
13058,A,Notre-Dame,SN-SP-SQ-SR,-73.586910560575802000,45.474689771442144000,Régulier Payez-Partez
13059,A,Notre-Dame,SN-SP-SQ-SR,-73.586017792901146000,45.475739198908364000,Régulier Payez-Partez
13060,A,Notre-Dame,SN-SP-SQ-SR,-73.586007019877428000,45.476051802071709000,Régulier Payez-Partez
13061,A,Gaétan-Laberge (Ver),VN-VP-VQ-VR,-73.562852554557736000,45.463628496428100000,Régulier Payez-Partez
13062,A,Lasalle (Ver),VN-VP-VQ-VR,-73.566595177410150000,45.467964978663296000,Régulier Payez-Partez
13063,A,Place du Commerce - voie 1 (Ver),VN-VP-VQ-VR,-73.545127736066931000,45.468103584929871000,Régulier Payez-Partez
13064,A,Place du Commerce - voie 2 (Ver),VN-VP-VQ-VR,-73.543710687248350000,45.468432075294544000,Régulier Payez-Partez
13065,A,Place du Commerce - voie 2 (Ver),VN-VP-VQ-VR,-73.542585181329557000,45.468878362090841000,Régulier Payez-Partez
13068,A,Saint-Dominique,H-N-P-Q,-73.559862190998984000,45.508767519850977000,Régulier Payez-Partez
13069,A,Rachel,PD-PE-PF-PH,-73.572174835751980000,45.527643776697637000,Régulier Payez-Partez
13070,A,Rachel,PD-PE-PF-PH,-73.570739102400026000,45.529098883213607000,Régulier Payez-Partez
13071,A,Parc-La Fontaine,PD-PE-PF-PH,-73.573644000000101000,45.525247408504114000,Régulier Payez-Partez
13072,A,Parc-La Fontaine,BASE COURTE ,-73.570780749825786000,45.524051836727892000,Régulier Payez-Partez
13073,A,Parc-La Fontaine,PD-PE-PF-PH,-73.568445537660565000,45.522886569301832000,Régulier Payez-Partez
13074,A,Jarry,AB-AC-AD-AE,-73.632457518083825000,45.537226034838469000,Régulier Payez-Partez
13075,A,Jarry,AB-AC-AD-AE,-73.632897465272720000,45.535997025411355000,Régulier Payez-Partez
13076,A,Saint-Laurent,AB-AC-AD-AE,-73.631132969493066000,45.538726813480757000,Régulier Payez-Partez
13077,A,Saint-Laurent,AB-AC-AD-AE,-73.629000185444866000,45.538107201585618000,Régulier Payez-Partez
13078,A,Saint-Laurent,AB-AC-AD-AE,-73.626991990666241000,45.537514529311551000,Régulier Payez-Partez
13079,A,Saint-Laurent,AB-AC-AD-AE,-73.624050634569173000,45.536657534418609000,Régulier Payez-Partez
13080,A,Saint-Laurent,AB-AC-AD-AE,-73.623625248617074000,45.536781256099111000,Régulier Payez-Partez
13081,A,Saint-Laurent,AB-AC-AD-AE,-73.626844479466328000,45.537717598516046000,Régulier Payez-Partez
13082,A,Saint-Laurent,AB-AC-AD-AE,-73.629392118619847000,45.538459923807622000,Régulier Payez-Partez
13083,A,Montgomery,AB-AC-AD-AE,-73.560230220018909000,45.539327381418950000,Régulier Payez-Partez
13084,A,Saint-Joseph,PG-PH-PJ-PM,-73.588422801359684000,45.525451952845266000,Régulier Payez-Partez
13085,A,Saint-Joseph,PG-PH-PJ-PM,-73.587060012456675000,45.527355655514270000,Régulier Payez-Partez
13086,A,Saint-Joseph,PG-PH-PJ-PM,-73.585446547068614000,45.528701587495000000,Régulier Payez-Partez
13087,A,Saint-Joseph,PG-PH-PJ-PM,-73.582976947953242000,45.531699862987814000,Régulier Payez-Partez
13088,A,Saint-Joseph,PG-PH-PJ-PM,-73.580640922605696000,45.533828378280759000,Régulier Payez-Partez
13091,A,Angrignon,SN-SP-SQ-SR,-73.606455822777093000,45.446936746664093000,Régulier Payez-Partez
13092,A,Avenue Dollard  (OUT),AB-AC-AD-AE,-73.618760257455691000,45.519870434803792000,Régulier Payez-Partez
13093,A,TER 910 Ave Rockland (OUT),AB-AC-AD-AE,-73.622122151358738000,45.519191400879578000,Régulier Payez-Partez
13094,A,Angrignon,SN-SP-SQ-SR,-73.609595748250982000,45.447560653401006000,Régulier Payez-Partez
13095,A,Émile-Journault P1 voie 1,BASE COURTE ,-73.635977098327771000,45.550466505659749000,Régulier Payez-Partez
13096,A,Émile-Journault P1 voie 9,BASE COURTE ,-73.635495440963126000,45.551119984404103000,Régulier Payez-Partez
13097,A,Émile-Journault P2 voie 4,BASE COURTE ,-73.635195095836437000,45.552039889034369000,Régulier Payez-Partez
13098,A,Émile-Journault P3 voie 1,BASE COURTE ,-73.633921271952559000,45.552953070681660000,Régulier Payez-Partez
